mySQLProjectId	ownerLogin/projName	SOId	ghLogin	ghMySQLId	ghMongoDBId
1334	rails/rails	516493	imanel	113453	36869
1334	rails/rails	1196760	vadivelan-k	102832	58820
1334	rails/rails	925258	anupamc	164661	244418
1334	rails/rails	774430	strzalek	146150	11562
1334	rails/rails	115462	crankharder	478515	39473
1334	rails/rails	506976	oriolgual	27780	5254
1334	rails/rails	270237	basti	193384	14432
1334	rails/rails	651983	andrewferk	508281	113192
1334	rails/rails	1970061	anilmaurya	271962	1912864
1334	rails/rails	599328	emmanuel	67168	7657
1334	rails/rails	1096745	kalv	294706	6521
1334	rails/rails	2774	johndouthat	148567	40605
1334	rails/rails	442637	GBH	33044	78363
1334	rails/rails	1462197	ulyssecarion	1265840	2180153
1334	rails/rails	537678	StefanH	146543	28166
1334	rails/rails	366254	raggi	59216	348
1334	rails/rails	1245024	gjaldon	889890	1457730
1334	rails/rails	525636	iain	23643	12692
1334	rails/rails	2254521	maurogeorge	46662	260746
1334	rails/rails	174954	cordawyn	20442	11866
1334	rails/rails	799777	uiltondutra	47205	143682
1334	rails/rails	213804	Antiarchitect	52418	50209
1334	rails/rails	123527	weppos	5	5387
1334	rails/rails	78666	benmmurphy	431944	392520
1334	rails/rails	661200	drogus	14672	5004
1334	rails/rails	13747	chopmo	13707	1176
1334	rails/rails	653033	BlackBulletIV	82034	446397
1334	rails/rails	1868	jballanc	22503	5226
1334	rails/rails	852697	szTheory	33774	28652
1334	rails/rails	1976383	griffinmyers	1293634	1980044
1334	rails/rails	447818	jordansexton	25772	1173161
1334	rails/rails	831036	huoxito	177814	245662
1334	rails/rails	646422	marklazz	347482	188407
1334	rails/rails	569544	AvnerCohen	136633	1297254
1334	rails/rails	943611	jgarber	132772	8061
1334	rails/rails	71205	siong1987	52010	5866
1334	rails/rails	145387	michaelfairley	30476	110025
1334	rails/rails	140710	bdmac	52013	47326
1334	rails/rails	25398	ruckus	17470	320
1334	rails/rails	446464	JESii	52840	486
1334	rails/rails	568801	micaeked	495719	45657
1334	rails/rails	1124616	jstorimer	7321	27818
1334	rails/rails	23128	jrmehle	20664	9645
1334	rails/rails	625422	MSch	28867	7475
1334	rails/rails	326438	snusnu	67159	1186
1334	rails/rails	597966	jaredonline	175009	14482
1334	rails/rails	473763	Nerian	97002	259568
1334	rails/rails	853920	AndrewRadev	19100	124255
1334	rails/rails	140942	samoli	7594	15641
1334	rails/rails	365701	wayneeseguin	41811	18
1334	rails/rails	86553	zenspider	46616	9832
1334	rails/rails	156189	bensie	7590	4595
1334	rails/rails	488033	abscondment	13391	36872
1334	rails/rails	195543	natebird	68586	4560
1334	rails/rails	1363236	rashmi14yadav	136656	123855
1334	rails/rails	426247	ybart	593329	223016
1334	rails/rails	1938429	senny	45381	5402
1334	rails/rails	446831	goncalossilva	34464	102931
1334	rails/rails	348163	acapilleri	63844	46208
1334	rails/rails	1192913	sstephenson	2122	2603
1334	rails/rails	264436	rmcastil	36202	155443
1334	rails/rails	206534	filipegiusti	165738	7714
1334	rails/rails	806924	nateberkopec	91397	845662
1334	rails/rails	535550	khelben	14633	65621
1334	rails/rails	550856	HeeL	141967	287769
1334	rails/rails	2196940	rasmusrn	141963	15245
1334	rails/rails	5168	georgebrock	167303	35861
1334	rails/rails	159441	bradleybuda	319396	74217
1334	rails/rails	938363	emclab	316300	946013
1334	rails/rails	1570654	eparreno	64571	3028
1334	rails/rails	203130	coreyward	164693	81224
1334	rails/rails	1108460	mschulkind	41233	523089
1334	rails/rails	404592	exviva	63457	80070
1334	rails/rails	56686	wader	188266	185566
1334	rails/rails	880100	zlw	57294	39616
1334	rails/rails	850996	shyam-habarakada	17250	601660
1334	rails/rails	1733148	HiroProt	10764	2553
1334	rails/rails	523692	asanghi	8077	762
1334	rails/rails	194768	edgarjs	151364	12443
1334	rails/rails	84479	pwim	129322	30756
1334	rails/rails	740326	pokonski	90210	135402
1334	rails/rails	1944623	kotfu	938320	218536
1334	rails/rails	688480	raybaxter	53391	10649
1334	rails/rails	1507066	achempion	109710	1409852
1334	rails/rails	2101165	crx	154225	646297
1334	rails/rails	791064	bfolkens	4992	2154
1334	rails/rails	399823	bernerdschaefer	103533	193
1334	rails/rails	606109	gsphanikumar	720128	667947
1334	rails/rails	479017	dukejones	217673	104690
1334	rails/rails	2627938	robertomiranda	164886	505427
1334	rails/rails	1362889	evsyukovmv	186110	1251637
1334	rails/rails	1107091	janx	50632	5958
1334	rails/rails	1873879	guilleiguaran	5113	160941
1334	rails/rails	1261224	jeremywrowe	23871	396364
1334	rails/rails	887607	RStankov	555	9867
1334	rails/rails	1335022	evanphx	52402	7
1334	rails/rails	406725	chaffeqa	85406	287640
1334	rails/rails	209962	bmarini	34447	13173
1334	rails/rails	169510	bkuo	308880	119251
1334	rails/rails	856688	iHiD	95117	286476
1334	rails/rails	826397	mking	316847	489866
1334	rails/rails	6962	henrik	8912	216
1334	rails/rails	304219	cice	120325	143797
1334	rails/rails	19093	mekishizufu	36669	20820
1334	rails/rails	445124	alindeman	8914	395621
1334	rails/rails	433836	sobrinho	8918	26460
1334	rails/rails	51567	aussiegeek	86944	475
1334	rails/rails	234235	psteiner	656048	1610420
1334	rails/rails	293417	dchelimsky	2146	1075
1334	rails/rails	506898	browning	22323	34327
1334	rails/rails	234944	benmanns	41474	27628
1334	rails/rails	29262	myronmarston	2147	49391
1334	rails/rails	921030	kylev	6018	46888
1334	rails/rails	301059	derekprior	9345	152152
1334	rails/rails	120067	eric1234	21760	43233
1334	rails/rails	20321	dasch	13354	6351
1334	rails/rails	741049	henare	67723	48945
1334	rails/rails	1216291	moktin	63692	171699
1334	rails/rails	209190	sferik	8931	10308
1334	rails/rails	575421	nbeloglazov	75905	252053
1334	rails/rails	56456	speaking-for-hackers	19140	1412977
1334	rails/rails	598211	lsimoneau	1848413	31768
1334	rails/rails	921319	flooose	48868	123168
1334	rails/rails	358804	afeld	60384	86842
1334	rails/rails	99024	Vanuan	49349	361985
1334	rails/rails	117525	hasclass	448732	26909
1334	rails/rails	80633	joshjordan	588433	521674
1334	rails/rails	243257	nicknovitski	49915	151337
1334	rails/rails	213403	nhocki	13343	17035
1334	rails/rails	1103543	JacobEvelyn	1302205	1114569
1334	rails/rails	429347	txus	41469	83234
1334	rails/rails	613124	Fonsan	139995	127208
1334	rails/rails	264778	jackdempsey	8940	479
1334	rails/rails	639319	h-lame	326610	608
1334	rails/rails	185681	pixeltrix	8941	6321
1334	rails/rails	3410	Hates	158934	4784
1334	rails/rails	1996540	zedtux	145091	478564
1334	rails/rails	1014292	SweeD	23453	136796
1334	rails/rails	80851	gmile	23454	207112
1334	rails/rails	449102	schlick	13340	18456
1334	rails/rails	122162	wycats	3892	4
1334	rails/rails	3424	jcoglan	53352	9265
1334	rails/rails	214840	JoeyButler	159074	463572
1334	rails/rails	478387	seanmccann	9368	40689
1334	rails/rails	410759	zmoazeni	41455	314
1334	rails/rails	188008	fabiokr	41458	21800
1334	rails/rails	1285763	killthekitten	63672	1201569
1334	rails/rails	520910	LarryLv	19532	531650
1334	rails/rails	394881	timstephenson	159072	44911
1334	rails/rails	501171	krzkrzkrz	885163	390072
1334	rails/rails	266069	Odaeus	74242	2150
1334	rails/rails	414376	plindelauf	29082	120231
1334	rails/rails	64417	burke	13574	1284
1334	rails/rails	340036	joneslee85	4947	135605
1334	rails/rails	4353	htanata	12407	21238
1334	rails/rails	260761	edogawaconan	399175	276295
1334	rails/rails	357743	KL-7	19537	270365
1334	rails/rails	1990236	fastred	198982	197767
1334	rails/rails	416089	jasiek	99051	37550
1334	rails/rails	836177	rubys	422248	4815
1334	rails/rails	99015	treybean	93466	1118
1334	rails/rails	1827184	pluff	303767	790802
1334	rails/rails	598057	stanislaw	23824	452547
1334	rails/rails	366381	JangoSteve	44835	93607
1334	rails/rails	137848	nixterrimus	791	18454
1334	rails/rails	100839	jadeforrest	9761	167022
1334	rails/rails	466910	ernie	29097	14947
1334	rails/rails	470909	caleywoods	9764	402957
1334	rails/rails	2663959	robin850	1635	354185
1334	rails/rails	1085570	sergey-alekseev	1402438	2371639
1334	rails/rails	169775	epid	47064	5473
1334	rails/rails	87460	davidbalbert	27533	123350
1334	rails/rails	1860139	derekkraan	357675	522157
1334	rails/rails	732611	egtann	106164	577672
1334	rails/rails	29691	spraints	28875	20158
1334	rails/rails	488722	wakeless	44706	224373
1334	rails/rails	427733	panthomakos	125916	186424
1334	rails/rails	477245	juggy	12420	1108
1334	rails/rails	130687	paul	14435	184
1334	rails/rails	148473	dnagir	29069	195035
1334	rails/rails	1142534	cfis	2505	18630
1334	rails/rails	519066	jsl	47448	9977
1334	rails/rails	1013173	greyblake	12206	113512
1334	rails/rails	242493	jimmycuadra	80573	122457
1334	rails/rails	162852	jcoyne	163368	92044
1334	rails/rails	962944	dlangevin	82526	58295
1334	rails/rails	2645935	andyjeffries	185603	22904
1334	rails/rails	66226	TrevorBurnham	22359	224895
1334	rails/rails	303924	dcrec1	24690	13742
1334	rails/rails	818003	kelyar	399590	10600
1334	rails/rails	726552	romanvbabenko	46822	23277
1334	rails/rails	2591348	moiristo	12410	19221
1334	rails/rails	499711	notalex	231687	1637711
1334	rails/rails	858398	robotex82	122771	655932
1334	rails/rails	103778	visoft	89503	208794
